run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,rq_akhir_durasi,rq_akhir_laju_efektif,rq_akhir_slack,rq_akhir_ukuran,rq_akhir_unduh,rq_n_chunk_100s,rq_n_chunk_10s,rq_n_chunk_110s,rq_n_chunk_120s,rq_n_chunk_130s,rq_n_chunk_140s,rq_n_chunk_150s,rq_n_chunk_160s,rq_n_chunk_170s,rq_n_chunk_180s,rq_n_chunk_190s,rq_n_chunk_200s,rq_n_chunk_20s,rq_n_chunk_30s,rq_n_chunk_40s,rq_n_chunk_50s,rq_n_chunk_60s,rq_n_chunk_70s,rq_n_chunk_80s,rq_n_chunk_90s,rq_ukuran_rata_100s,rq_ukuran_rata_10s,rq_ukuran_rata_110s,rq_ukuran_rata_120s,rq_ukuran_rata_130s,rq_ukuran_rata_140s,rq_ukuran_rata_150s,rq_ukuran_rata_160s,rq_ukuran_rata_170s,rq_ukuran_rata_180s,rq_ukuran_rata_190s,rq_ukuran_rata_200s,rq_ukuran_rata_20s,rq_ukuran_rata_30s,rq_ukuran_rata_40s,rq_ukuran_rata_50s,rq_ukuran_rata_60s,rq_ukuran_rata_70s,rq_ukuran_rata_80s,rq_ukuran_rata_90s,rq_unduh_rata_100s,rq_unduh_rata_10s,rq_unduh_rata_110s,rq_unduh_rata_120s,rq_unduh_rata_130s,rq_unduh_rata_140s,rq_unduh_rata_150s,rq_unduh_rata_160s,rq_unduh_rata_170s,rq_unduh_rata_180s,rq_unduh_rata_190s,rq_unduh_rata_200s,rq_unduh_rata_20s,rq_unduh_rata_30s,rq_unduh_rata_40s,rq_unduh_rata_50s,rq_unduh_rata_60s,rq_unduh_rata_70s,rq_unduh_rata_80s,rq_unduh_rata_90s,label
CONT_s10_bola_BigBuckBunny,22,,,0.170828,,,,,,,,,,,,,,9.879,0.206002,0.415,254387.0,9.464,13,1,14,14,15,18,18,18,19,21,22,22,2,2,2,3,5,7,9,12,286150.615,254387.0,600122.857,600122.857,579305.267,671082.556,671082.556,671082.556,646335.421,599013.143,749884.5,749884.5,453189.0,453189.0,453189.0,638328.333,444000.6,372536.0,319788.222,293800.5,5.600923,9.464,7.094786,7.094786,6.876933,7.524278,7.524278,7.524278,7.220474,6.640571,7.656,7.656,17.4605,17.4605,17.4605,14.513667,9.6838,7.821286,6.556,5.7995,Critical
CONT_s10_bola_BigBuckBunny,23,,,0.144122,,,,,,,,,,,,,,9.879,0.206002,0.415,254387.0,9.464,12,0,13,14,14,15,18,18,18,19,21,22,1,2,2,2,3,5,7,9,293800.5,0.0,286150.615,600122.857,600122.857,579305.267,671082.556,671082.556,671082.556,646335.421,599013.143,749884.5,254387.0,453189.0,453189.0,453189.0,638328.333,444000.6,372536.0,319788.222,5.7995,0.0,5.600923,7.094786,7.094786,6.876933,7.524278,7.524278,7.524278,7.220474,6.640571,7.656,9.464,17.4605,17.4605,17.4605,14.513667,9.6838,7.821286,6.556,Critical
CONT_s10_bola_BigBuckBunny,24,,,0.141616,,,,,,,,,,,,,,9.879,0.206002,0.415,254387.0,9.464,9,0,12,13,14,14,15,18,18,18,19,21,0,1,2,2,2,3,5,7,319788.222,0.0,293800.5,286150.615,600122.857,600122.857,579305.267,671082.556,671082.556,671082.556,646335.421,599013.143,0.0,254387.0,453189.0,453189.0,453189.0,638328.333,444000.6,372536.0,6.556,0.0,5.7995,5.600923,7.094786,7.094786,6.876933,7.524278,7.524278,7.524278,7.220474,6.640571,0.0,9.464,17.4605,17.4605,17.4605,14.513667,9.6838,7.821286,Critical
CONT_s10_bola_BigBuckBunny,25,,,0.141654,,,,,,,,,,,,,,9.879,0.206002,0.415,254387.0,9.464,7,0,9,12,13,14,14,15,18,18,18,19,0,0,1,2,2,2,3,5,372536.0,0.0,319788.222,293800.5,286150.615,600122.857,600122.857,579305.267,671082.556,671082.556,671082.556,646335.421,0.0,0.0,254387.0,453189.0,453189.0,453189.0,638328.333,444000.6,7.821286,0.0,6.556,5.7995,5.600923,7.094786,7.094786,6.876933,7.524278,7.524278,7.524278,7.220474,0.0,0.0,9.464,17.4605,17.4605,17.4605,14.513667,9.6838,Critical
CONT_s10_bola_BigBuckBunny,26,,,0.144778,,,,,,,,,,,,,,9.879,0.206002,0.415,254387.0,9.464,5,0,7,9,12,13,14,14,15,18,18,18,0,0,0,1,2,2,2,3,444000.6,0.0,372536.0,319788.222,293800.5,286150.615,600122.857,600122.857,579305.267,671082.556,671082.556,671082.556,0.0,0.0,0.0,254387.0,453189.0,453189.0,453189.0,638328.333,9.6838,0.0,7.821286,6.556,5.7995,5.600923,7.094786,7.094786,6.876933,7.524278,7.524278,7.524278,0.0,0.0,0.0,9.464,17.4605,17.4605,17.4605,14.513667,Critical
CONT_s10_bola_BigBuckBunny,27,,,0.14334,,,,,,,,,,,,,,9.879,0.206002,0.415,254387.0,9.464,3,0,5,7,9,12,13,14,14,15,18,18,0,0,0,0,1,2,2,2,638328.333,0.0,444000.6,372536.0,319788.222,293800.5,286150.615,600122.857,600122.857,579305.267,671082.556,671082.556,0.0,0.0,0.0,0.0,254387.0,453189.0,453189.0,453189.0,14.513667,0.0,9.6838,7.821286,6.556,5.7995,5.600923,7.094786,7.094786,6.876933,7.524278,7.524278,0.0,0.0,0.0,0.0,9.464,17.4605,17.4605,17.4605,Degraded
CONT_s10_bola_BigBuckBunny,28,,,0.054375,,,,,,,,,,,,,,58.713,0.146554,0.0,1075581.0,58.713,3,1,4,6,8,10,13,14,15,15,16,19,1,1,1,1,1,2,3,3,660653.0,1075581.0,747641.5,549264.0,460416.625,395367.5,353937.462,342538.5,631820.067,631820.067,610322.5,692371.947,1075581.0,1075581.0,1075581.0,1075581.0,1075581.0,664984.0,660653.0,660653.0,31.211333,58.713,25.5635,17.855333,14.18275,11.7717,9.869769,9.394643,10.536,10.536,10.116688,10.218421,58.713,58.713,58.713,58.713,58.713,34.0885,31.211333,31.211333,Critical
CONT_s10_bola_BigBuckBunny,29,,,0.000125,,,,,,,,,,,,,,58.713,0.146554,0.0,1075581.0,58.713,3,0,3,4,6,8,10,13,14,15,15,16,1,1,1,1,1,1,2,3,660653.0,0.0,660653.0,747641.5,549264.0,460416.625,395367.5,353937.462,342538.5,631820.067,631820.067,610322.5,1075581.0,1075581.0,1075581.0,1075581.0,1075581.0,1075581.0,664984.0,660653.0,31.211333,0.0,31.211333,25.5635,17.855333,14.18275,11.7717,9.869769,9.394643,10.536,10.536,10.116688,58.713,58.713,58.713,58.713,58.713,58.713,34.0885,31.211333,Critical
CONT_s10_bola_ElephantsDream,1,,,1.397962,,,,,,,,,,,,,,23.082,1.174462,2.555,3388617.0,20.527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,3388617.0,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,20.527,Good
CONT_s10_bola_ElephantsDream,2,,,0.921927,,,,,,,,,,,,,,4.089,0.706747,1.532,361236.0,2.557,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1874926.5,361236.0,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,1874926.5,11.542,2.557,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,11.542,Good
