run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
CONT_s10_bola_BigBuckBunny,23,97,41,0.144166,0.170192,0.0,0.350829,54.097817,131.315662,0.0,0,461.427876,509.011431,125.545336,181810,162,2,20173880,-92,0.56701,-0.042214,0.657697,0.350829,0.14479,0.172337,0.219198,0.773506,0.350491,Critical
CONT_s10_bola_BigBuckBunny,24,97,40,0.143422,0.172378,0.0,0.443237,53.144873,132.148088,0.0,0,440.261109,508.997663,146.692803,180910,163,2,20354790,1,0.587629,-0.000744,0.637385,0.443237,0.148024,0.176967,0.225016,0.994839,0.0,Critical
CONT_s10_bola_BigBuckBunny,25,97,39,0.139515,0.170767,0.0,0.374154,52.186518,133.122431,0.0,0,463.003963,508.998181,124.915051,175976,157,2,20530766,-6,0.597938,-0.003907,0.618479,0.350829,0.132727,0.169789,0.225578,0.972759,0.0,Critical
CONT_s10_bola_BigBuckBunny,26,97,44,0.140139,0.157962,0.0,0.396154,73.252547,228.281587,0.588235,1,617.530274,1434.743819,382.683107,177052,170,4,20707818,13,0.536082,0.000624,0.60094,0.350491,0.132523,0.142628,0.2332,1.004473,0.0,Critical
CONT_s10_bola_BigBuckBunny,27,100,53,0.144137,0.150733,0.0,0.464645,146.778006,368.861376,0.537634,1,791.166605,1519.163448,430.180765,187597,186,4,20895415,16,0.48,0.003998,0.584306,0.464645,0.145634,0.151826,0.246681,1.028529,0.119155,Degraded
CONT_s10_bola_BigBuckBunny,28,97,26,0.090754,0.19647,0.0,1.452745,55.272344,240.931603,5.217391,6,407.228533,782.568248,247.205839,114767,115,2,21010182,-71,0.731959,-0.053383,0.56744,0.069866,0.002409,0.012748,0.159936,0.629637,0.0,Critical
CONT_s10_bola_BigBuckBunny,29,97,5,0.002279,0.011881,0.0,0.069732,31.56978,0.0,0.0,0,18.93626,44.34626,16.606648,2886,12,2,21013068,-103,0.958763,-0.088475,0.548768,0.0,0.0,0.0,0.004153,0.025112,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,1,99,91,1.80125,7.333542,0.0,73.400548,14.195814,18.393075,2.956859,61,78.471718,155.5151,32.614946,2281008,2063,2,4056798,343,0.080808,0.842971,1.300198,73.400548,3.597115,13.146241,1.385366,1.879672,0.0,Good
CONT_s10_bola_RedBullPlayStreets,2,98,67,0.737614,0.550728,0.0,1.764215,36.861135,102.146122,0.0,0,122.396466,156.678201,39.918122,926602,782,4,4983400,-1281,0.316327,-1.063636,1.138806,1.287707,1.070007,0.070254,0.647708,0.409501,1.06885,Good
CONT_s10_bola_RedBullPlayStreets,3,99,99,1.07868,0.153562,0.587704,1.415673,46.658814,78.345647,0.0,0,132.364229,190.335788,49.342209,1372199,1264,6,6355599,482,0.0,0.341066,1.125273,1.415673,1.078806,0.174059,0.958594,1.462391,1.187549,Good
CONT_s10_bola_RedBullPlayStreets,4,98,73,0.800399,0.511048,0.0,1.647223,35.68347,129.662,0.0,0,111.090053,190.523678,52.330504,1009513,896,4,7365112,-368,0.255102,-0.278281,1.065923,1.354319,0.226239,0.457351,0.750898,0.742017,1.174266,Degraded
CONT_s10_bola_RedBullPlayStreets,5,98,55,1.030394,4.351786,0.0,43.527386,27.622635,90.17131,0.880626,9,116.490701,156.581236,40.038012,1298836,1022,2,8663948,126,0.438776,0.229995,1.060342,43.527386,2.387277,7.651111,0.971756,1.28735,0.708482,Good
CONT_s10_bola_RedBullPlayStreets,6,98,98,0.844844,0.246338,0.120544,1.641591,26.028136,42.807908,0.0,0,147.086091,184.986057,38.3341,1066796,907,4,9730744,-115,0.0,-0.18555,1.031504,1.403411,0.859429,0.196682,0.819041,0.819923,0.825247,Good
