run_id,window_index,o22_degraded,stall_degraded,label_degraded
CONT_s11_TearsOfSteel,12,2.4972,0,Degraded
CONT_s11_TearsOfSteel,13,2.4972,0,Degraded
CONT_s11_TearsOfSteel,14,2.4972,0,Degraded
CONT_s11_TearsOfSteel,15,2.4972,0,Degraded
CONT_s11_TearsOfSteel,16,2.4972,0,Degraded
CONT_s11_TearsOfSteel,17,2.4972,0,Degraded
CONT_s11_TearsOfSteel,18,2.5775,0,Degraded
CONT_s11_TearsOfSteel,19,3.3004,0,Good
CONT_s11_TearsOfSteel,20,3.22,0,Good
CONT_s11_TearsOfSteel,21,2.5891,0,Degraded
CONT_s11_TearsOfSteel,22,3.5102,0,Good
CONT_s11_TearsOfSteel,23,4.2549,0,Excellent
CONT_s11_TearsOfSteel,24,3.3004,0,Good
CONT_s11_TearsOfSteel,25,3.3119,0,Good
CONT_s11_TearsOfSteel,26,3.4157,0,Good
CONT_s11_TearsOfSteel,27,3.3238,0,Good
CONT_s11_TearsOfSteel,28,2.4972,0,Degraded
CONT_s11_TheSwissAccount,0,3.6939,0,Good
CONT_s11_TheSwissAccount,1,2.8348,0,Degraded
CONT_s11_TheSwissAccount,2,2.8411,0,Degraded
CONT_s11_TheSwissAccount,3,2.9802,0,Degraded
CONT_s11_TheSwissAccount,4,3.7365,0,Good
CONT_s11_TheSwissAccount,5,3.8877,0,Good
CONT_s11_TheSwissAccount,6,4.2263,0,Excellent
CONT_s11_TheSwissAccount,7,2.9802,0,Degraded
CONT_s11_TheSwissAccount,8,3.7906,0,Good
CONT_s11_TheSwissAccount,9,4.32,0,Excellent
CONT_s11_TheSwissAccount,10,3.8229,0,Good
CONT_s11_TheSwissAccount,11,3.6429,0,Good
CONT_s11_TheSwissAccount,12,2.8973,0,Degraded
CONT_s11_TheSwissAccount,13,2.8973,0,Degraded
CONT_s11_TheSwissAccount,14,2.9802,0,Degraded
CONT_s11_TheSwissAccount,15,3.6429,0,Good
CONT_s11_TheSwissAccount,16,2.8973,0,Degraded
CONT_s11_TheSwissAccount,17,2.8973,0,Degraded
CONT_s11_TheSwissAccount,18,2.8973,0,Degraded
CONT_s11_TheSwissAccount,19,2.9865,0,Degraded
CONT_s11_TheSwissAccount,20,3.7894,0,Good
CONT_s11_TheSwissAccount,21,3.7002,0,Good
CONT_s11_TheSwissAccount,22,3.0407,0,Good
CONT_s11_TheSwissAccount,23,4.3358,0,Excellent
CONT_s11_TheSwissAccount,24,4.2263,0,Excellent
CONT_s11_TheSwissAccount,25,2.9909,0,Degraded
CONT_s11_TheSwissAccount,26,3.8378,0,Good
CONT_s11_TheSwissAccount,27,3.8669,0,Good
CONT_s11_TheSwissAccount,28,3.7002,0,Good
CONT_s11_TheSwissAccount,29,2.8973,0,Degraded
CONT_s11_Valkaama,0,3.7589,0,Good
CONT_s11_Valkaama,1,3.7782,0,Good
CONT_s11_Valkaama,2,3.7565,0,Good
CONT_s11_Valkaama,3,3.663,0,Good
CONT_s11_Valkaama,4,2.982,0,Degraded
CONT_s11_Valkaama,5,4.4109,0,Excellent
CONT_s11_Valkaama,6,4.2546,0,Excellent
CONT_s11_Valkaama,7,4.272,0,Excellent
CONT_s11_Valkaama,8,4.4109,0,Excellent
CONT_s11_Valkaama,9,4.2048,0,Excellent
CONT_s11_Valkaama,10,3.8093,0,Good
CONT_s11_Valkaama,11,4.1432,0,Excellent
CONT_s11_Valkaama,12,2.8724,0,Degraded
CONT_s11_Valkaama,13,2.8724,0,Degraded
CONT_s11_Valkaama,14,2.8724,0,Degraded
CONT_s11_Valkaama,15,2.7506,0,Degraded
CONT_s11_Valkaama,16,1.6548,0,Critical
CONT_s11_Valkaama,17,1.7765,0,Critical
CONT_s11_Valkaama,18,2.9632,0,Degraded
CONT_s11_Valkaama,19,3.8394,0,Good
CONT_s11_Valkaama,20,4.3658,0,Excellent
CONT_s11_Valkaama,21,4.3433,0,Excellent
CONT_s11_Valkaama,22,4.3518,0,Excellent
CONT_s11_Valkaama,23,4.4173,0,Excellent
CONT_s11_Valkaama,24,4.3119,0,Excellent
CONT_s11_Valkaama,25,4.2546,0,Excellent
CONT_s11_Valkaama,26,4.2576,0,Excellent
CONT_s11_Valkaama,27,4.2341,0,Excellent
CONT_s11_Valkaama,28,3.6847,0,Good
CONT_s11_Valkaama,29,2.8213,0,Degraded
