run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
CONT_s10_OfForestAndMen,6,31,,0.446225,0.799006,0.0,4.223382,,,,,,,,578351,468,2,Good
CONT_s10_OfForestAndMen,7,31,,0.795709,0.218887,0.0,1.021502,,,,,,,,1027805,928,6,Good
CONT_s10_OfForestAndMen,8,31,,0.854429,0.058136,0.744657,0.985643,,,,,,,,1090780,1078,6,Degraded
CONT_s10_OfForestAndMen,9,31,,0.637599,0.367951,0.0,1.113069,,,,,,,,827188,801,2,Good
CONT_s10_OfForestAndMen,10,31,,0.295047,0.479428,0.0,2.416965,,,,,,,,379494,311,2,Degraded
CONT_s10_OfForestAndMen,11,31,,0.577387,0.078696,0.405995,0.708511,,,,,,,,740104,605,2,Good
CONT_s10_OfForestAndMen,12,31,,0.574715,0.073084,0.44273,0.730391,,,,,,,,741190,608,4,Good
CONT_s10_OfForestAndMen,13,32,,1.887864,7.527687,0.419988,43.797519,,,,,,,,2539221,2107,6,Degraded
CONT_s10_OfForestAndMen,14,31,,0.447502,0.059499,0.250338,0.56,,,,,,,,572123,540,4,Degraded
CONT_s10_OfForestAndMen,15,31,,0.305547,0.237641,0.0,0.722059,,,,,,,,387183,314,2,Degraded
CONT_s10_OfForestAndMen,16,32,,0.45248,0.089841,0.327167,0.5651,,,,,,,,597394,481,2,Degraded
CONT_s10_OfForestAndMen,17,31,,0.453215,0.0869,0.353,0.587659,,,,,,,,574398,463,2,Degraded
CONT_s10_OfForestAndMen,18,32,,0.291149,0.224737,0.0,0.619874,,,,,,,,385874,308,2,Degraded
CONT_s10_OfForestAndMen,19,30,,0.19719,0.069905,0.0,0.379994,,,,,,,,248032,282,2,Degraded
CONT_s10_OfForestAndMen,20,32,,0.194027,0.056393,0.0,0.290547,,,,,,,,255743,301,2,Degraded
CONT_s10_OfForestAndMen,21,31,,0.195724,0.069509,0.0,0.421337,,,,,,,,247476,307,4,Critical
CONT_s10_OfForestAndMen,22,32,,0.19963,0.048541,0.110408,0.302244,,,,,,,,264204,287,2,Critical
CONT_s10_OfForestAndMen,23,31,,0.123537,0.130358,0.0,0.501303,,,,,,,,158864,141,2,Critical
CONT_s10_OfForestAndMen,24,31,,0.09046,0.117213,0.0,0.388546,,,,,,,,114792,95,2,Critical
CONT_s10_OfForestAndMen,25,32,,0.124207,0.10488,0.0,0.383619,,,,,,,,164187,137,2,Critical
CONT_s10_OfForestAndMen,26,31,,0.141873,0.043987,0.001266,0.25975,,,,,,,,184259,162,3,Critical
CONT_s10_OfForestAndMen,27,30,,0.143188,0.026676,0.075939,0.222592,,,,,,,,179812,194,4,Critical
CONT_s10_OfForestAndMen,28,32,,0.111052,0.066504,0.0,0.223574,,,,,,,,146916,150,4,Critical
CONT_s10_OfForestAndMen,29,30,,0.003029,0.00738,0.0,0.021989,,,,,,,,3816,15,2,Critical
CONT_s10_RedBullPlayStreets,1,29,,1.021012,0.032453,0.955349,1.084904,,,,,,,,1335165,1323,4,Good
CONT_s10_RedBullPlayStreets,2,28,,1.39204,3.692325,0.0,20.407223,,,,,,,,1768762,1471,2,Good
CONT_s10_RedBullPlayStreets,3,29,,1.00714,0.279562,0.0,1.230629,,,,,,,,1324810,1191,5,Good
CONT_s10_RedBullPlayStreets,4,29,,1.082093,0.062764,0.929532,1.183472,,,,,,,,1417973,1296,4,Degraded
CONT_s10_RedBullPlayStreets,5,28,,0.553556,0.501782,0.0,1.166794,,,,,,,,699171,597,4,Degraded
CONT_s10_RedBullPlayStreets,6,29,,0.708981,0.395826,0.0,1.166794,,,,,,,,935802,772,2,Good
CONT_s10_RedBullPlayStreets,7,29,,0.844495,0.047555,0.751084,0.947415,,,,,,,,1099749,954,5,Degraded
