run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,total_bytes,total_packets,active_flows,label
S1_ElephantsDream_rep1,2,11,5.202959,8.511501,0.0,20.379693,0.006478,0.026702,0.0,0,7172444,4782,1,Excellent
S1_ElephantsDream_rep1,3,11,6.895177,11.496097,0.0,30.578249,0.006488,0.026561,0.0,0,9504633,6337,1,Excellent
S1_ElephantsDream_rep1,4,11,6.402696,10.601044,0.0,26.124473,0.006239,0.025712,0.0,0,8825397,5885,1,Excellent
S1_ElephantsDream_rep1,5,11,8.884641,14.52799,0.0,34.56608,0.005922,0.022446,0.0,0,12246955,8165,1,Excellent
S1_ElephantsDream_rep1,6,11,8.791929,14.362259,0.0,32.890088,0.006441,0.026514,0.0,0,12119121,8081,1,Excellent
S1_ElephantsDream_rep1,7,11,8.33638,13.763139,0.0,33.368315,0.013581,0.104834,0.0,0,11497311,7669,2,Excellent
S1_ElephantsDream_rep1,8,11,7.507664,12.968415,0.0,33.368315,0.013464,0.104834,0.0,0,10348845,6904,2,Excellent
S1_ElephantsDream_rep1,9,11,3.349186,5.476287,0.0,13.03467,0.005861,0.022446,0.0,0,4617267,3080,1,Excellent
S1_ElephantsDream_rep1,10,11,3.022188,4.945618,0.0,11.898514,0.005806,0.023616,0.0,0,4166604,2780,1,Excellent
S1_ElephantsDream_rep1,11,11,4.990261,9.113679,0.0,26.557495,0.006176,0.024739,0.0,0,6880551,4589,1,Excellent
S1_ElephantsDream_rep1,12,10,4.676045,8.113443,0.0,26.557495,0.008926,0.024463,0.0,0,5861191,3909,1,Excellent
S1_ElephantsDream_rep1,13,11,1.301343,2.764376,0.0,7.49771,0.003903,0.02182,0.0,0,1794186,1197,1,Excellent
S1_ElephantsDream_rep1,14,11,2.539066,4.159811,0.0,10.217265,0.0064,0.025885,0.0,0,3500165,2335,1,Excellent
S1_ElephantsDream_rep1,15,11,1.319157,2.798619,0.0,7.345498,0.004168,0.024396,0.0,0,1818922,1213,1,Excellent
S1_ElephantsDream_rep1,16,11,2.375997,3.971294,0.0,11.004587,0.00559,0.021803,0.0,0,3275764,2185,1,Excellent
S1_ElephantsDream_rep1,17,11,2.735045,4.52618,0.0,11.435891,0.006559,0.025789,0.0,0,3770728,2515,1,Excellent
S1_ElephantsDream_rep1,18,11,2.674801,4.420664,0.0,11.279074,0.007084,0.026484,0.0,0,3687555,2460,1,Excellent
S1_ElephantsDream_rep1,19,11,1.74737,3.745871,0.0,10.877152,0.003968,0.022454,0.0,0,2409329,1607,1,Excellent
S1_ElephantsDream_rep1,20,11,2.193015,3.618115,0.0,9.322345,0.006878,0.027051,0.0,0,3023740,2018,1,Excellent
S1_ElephantsDream_rep1,21,11,2.997922,5.083682,0.0,14.59601,0.00675,0.025334,0.0,0,4133090,2757,1,Excellent
S1_ElephantsDream_rep1,22,11,3.176347,5.431754,0.0,14.59601,0.006178,0.025108,0.0,0,4378324,2920,1,Excellent
S1_ElephantsDream_rep1,23,11,1.8517,4.117835,0.0,13.082358,0.004005,0.022195,0.0,0,2552453,1702,1,Excellent
S1_ElephantsDream_rep1,24,11,0.001161,0.001535,0.0,0.003192,131.970886,425.526755,0.0,0,1600,4,1,Excellent
S1_ElephantsDream_rep1,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_ElephantsDream_rep1,26,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_ElephantsDream_rep1,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_ElephantsDream_rep1,28,11,3.8e-05,0.000119,0.0,0.000415,281.890985,3100.800838,0.0,0,52,1,1,Excellent
S1_ElephantsDream_rep1,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_OfForestAndMen_rep1,1,11,2.893129,4.931305,0.0,14.042505,0.005938,0.022448,0.0,0,3988912,2661,1,Excellent
S1_OfForestAndMen_rep1,2,11,3.024371,5.131952,0.0,14.857495,0.006119,0.02508,0.0,0,4170266,2782,1,Excellent
S1_OfForestAndMen_rep1,3,11,4.304458,7.486743,0.0,20.535219,0.006402,0.02508,0.0,0,5934834,3958,1,Excellent
S1_OfForestAndMen_rep1,4,11,5.585916,9.122013,0.0,20.599386,0.005844,0.022267,0.0,0,7701371,5136,1,Excellent
S1_OfForestAndMen_rep1,5,11,5.590016,9.128886,0.0,20.632708,0.005997,0.023357,0.0,0,7706514,5140,1,Excellent
S1_OfForestAndMen_rep1,6,11,5.610521,9.162555,0.0,20.818805,0.006458,0.026552,0.0,0,7739614,5161,1,Excellent
S1_OfForestAndMen_rep1,7,11,5.585444,9.121113,0.0,20.561285,10.456151,114.955858,0.0,0,7705040,5139,1,Excellent
S1_OfForestAndMen_rep1,8,11,5.579941,9.112141,0.0,20.616506,10.45642,114.955858,0.0,0,7693646,5133,1,Excellent
S1_OfForestAndMen_rep1,9,11,5.571884,9.101655,0.0,20.964292,0.006673,0.026246,0.0,0,7682288,5123,1,Excellent
S1_OfForestAndMen_rep1,10,11,5.327863,8.70997,0.0,20.481516,0.005816,0.022898,0.0,0,7345848,4899,1,Excellent
S1_OfForestAndMen_rep1,11,10,4.218511,6.697252,0.0,18.563901,0.006479,0.022898,0.0,0,5287539,3527,1,Excellent
S1_OfForestAndMen_rep1,12,11,3.218488,6.834963,0.0,18.453357,0.003812,0.0223,0.0,0,4437831,2960,1,Excellent
S1_OfForestAndMen_rep1,13,11,5.44,8.887815,0.0,20.505675,0.006142,0.024586,0.0,0,7500437,5002,1,Excellent
S1_OfForestAndMen_rep1,14,11,3.750746,7.961864,0.0,21.312179,0.004234,0.025016,0.0,0,5172731,3450,1,Excellent
S1_OfForestAndMen_rep1,15,11,5.146264,8.449996,0.0,20.669762,0.006612,0.028005,0.0,0,7096634,4733,1,Excellent
S1_OfForestAndMen_rep1,16,11,5.547827,9.059733,0.0,20.424088,0.005833,0.02242,0.0,0,7650387,5102,1,Excellent
S1_OfForestAndMen_rep1,17,11,5.612909,9.169291,0.0,21.237013,0.006145,0.022898,0.0,0,7740131,5161,1,Excellent
S1_OfForestAndMen_rep1,18,11,4.30534,7.302782,0.0,20.87263,0.006675,0.027854,0.0,0,5937271,3959,1,Excellent
S1_OfForestAndMen_rep1,19,11,5.188869,7.340357,0.0,19.675174,0.008231,0.0238,0.0,0,7155385,4771,1,Excellent
S1_OfForestAndMen_rep1,20,11,2.922237,6.204726,0.0,16.697201,0.004853,0.027457,0.0,0,4030162,2687,1,Excellent
S1_OfForestAndMen_rep1,21,11,4.645125,7.687284,0.0,20.306946,0.005984,0.022385,0.0,0,6404038,4271,1,Excellent
S1_OfForestAndMen_rep1,22,11,3.737451,6.649702,0.0,20.262677,0.006288,0.027537,0.0,0,5153574,3436,1,Excellent
S1_OfForestAndMen_rep1,23,11,5.574006,9.102781,0.0,20.640582,0.005619,0.022235,0.0,0,7685460,5125,1,Excellent
S1_OfForestAndMen_rep1,24,11,5.560259,9.081188,0.0,20.763127,0.005983,0.023775,0.0,0,7669058,5115,1,Excellent
S1_OfForestAndMen_rep1,25,11,5.53337,9.036435,0.0,20.420736,0.006065,0.023775,0.0,0,7628927,5088,1,Excellent
S1_OfForestAndMen_rep1,26,11,3.66321,7.770281,0.0,20.273857,20.200715,222.163464,0.0,0,5071536,3383,1,Excellent
S1_OfForestAndMen_rep1,27,11,0.00116,0.001535,0.0,0.003191,114.283366,367.39651,0.0,0,1600,4,1,Excellent
S1_OfForestAndMen_rep1,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_OfForestAndMen_rep1,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_RedBullPlayStreets_rep1,1,11,4.691121,9.238411,0.0,24.356126,0.006299,0.025787,0.0,0,6468088,4313,1,Excellent
S1_RedBullPlayStreets_rep1,2,11,6.915137,10.700881,0.0,25.660365,0.007728,0.022772,0.0,0,9538030,6360,1,Excellent
S1_RedBullPlayStreets_rep1,3,11,5.731162,9.489944,0.0,23.915884,0.006315,0.023623,0.0,0,7905942,5272,1,Excellent
S1_RedBullPlayStreets_rep1,4,11,6.71106,11.01129,0.0,27.254043,0.006607,0.02571,0.0,0,9254468,6171,1,Excellent
S1_RedBullPlayStreets_rep1,5,11,6.640539,10.916092,0.0,27.694218,0.00652,0.025177,0.0,0,9156793,6106,1,Excellent
S1_RedBullPlayStreets_rep1,6,11,7.0689,11.572458,0.0,27.694218,0.006185,0.024887,0.0,0,9746905,6499,1,Excellent
S1_RedBullPlayStreets_rep1,7,11,6.733447,11.047675,0.0,27.485432,0.00607,0.024471,0.0,0,9285949,6192,1,Excellent
S1_RedBullPlayStreets_rep1,8,11,6.989267,11.44219,0.0,27.485432,0.017456,0.14579,0.0,0,9638455,6430,2,Excellent
S1_RedBullPlayStreets_rep1,9,11,6.166459,10.162166,0.0,24.922648,0.00631,0.025195,0.0,0,8504380,5671,1,Excellent
S1_RedBullPlayStreets_rep1,10,11,5.183117,8.465561,0.0,19.41105,0.00643,0.025195,0.0,0,7148405,4767,1,Excellent
S1_RedBullPlayStreets_rep1,11,10,4.760014,9.746509,0.0,28.470998,0.004893,0.024611,0.0,0,5969174,3981,1,Excellent
S1_RedBullPlayStreets_rep1,12,11,6.617481,10.888821,0.0,27.720092,0.006264,0.023599,0.0,0,9126974,6086,1,Excellent
S1_RedBullPlayStreets_rep1,13,11,4.591124,9.739385,0.0,25.373604,0.004517,0.025992,0.0,0,6332997,4223,1,Excellent
S1_RedBullPlayStreets_rep1,14,11,6.809672,11.137608,0.0,26.6205,0.005868,0.023865,0.0,0,9392318,6264,1,Excellent
S1_RedBullPlayStreets_rep1,15,11,4.182253,8.999867,0.0,26.549043,0.003854,0.021721,0.0,0,5768756,3847,1,Excellent
S1_RedBullPlayStreets_rep1,16,11,6.917717,11.313079,0.0,26.923689,0.006775,0.026332,0.0,0,9541046,6362,1,Excellent
S1_RedBullPlayStreets_rep1,17,11,4.180076,8.932323,0.0,25.513819,0.004166,0.023568,0.0,0,5765103,3844,1,Excellent
S1_RedBullPlayStreets_rep1,18,11,5.465734,9.046281,0.0,24.030301,0.006588,0.025526,0.0,0,7538157,5027,1,Excellent
S1_RedBullPlayStreets_rep1,19,11,3.373128,7.155489,0.0,18.570223,0.004004,0.024018,0.0,0,4651966,3102,1,Excellent
S1_RedBullPlayStreets_rep1,20,11,5.8365,9.540327,0.0,22.544782,0.006538,0.026618,0.0,0,8052884,5370,1,Excellent
S1_RedBullPlayStreets_rep1,21,11,5.088889,10.106816,0.0,28.16008,0.005772,0.023612,0.0,0,7018517,4680,1,Excellent
S1_RedBullPlayStreets_rep1,22,11,6.897178,10.663307,0.0,25.463093,0.00809,0.023439,0.0,0,9513462,6344,1,Excellent
S1_RedBullPlayStreets_rep1,23,11,4.537121,9.624689,0.0,24.960877,0.00395,0.022791,0.0,0,6262871,4176,1,Excellent
S1_RedBullPlayStreets_rep1,24,11,0.00116,0.001535,0.0,0.00319,132.672742,428.002988,0.0,0,1600,4,1,Excellent
S1_RedBullPlayStreets_rep1,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_RedBullPlayStreets_rep1,26,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_RedBullPlayStreets_rep1,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_RedBullPlayStreets_rep1,28,11,3.8e-05,0.000119,0.0,0.000415,282.005844,3102.06428,0.0,0,52,1,1,Excellent
S1_RedBullPlayStreets_rep1,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TearsOfSteel_rep1,1,11,10.926499,22.34423,0.0,59.305048,0.138276,1.033907,100.0,10050,15072241,10050,1,Excellent
S1_TearsOfSteel_rep1,2,11,12.082023,19.585956,0.0,50.083038,0.140782,0.763522,100.0,11114,16668117,11114,1,Excellent
S1_TearsOfSteel_rep1,3,11,11.083427,15.934001,0.0,40.994526,0.158884,0.966753,100.0,10197,15293374,10197,1,Excellent
S1_TearsOfSteel_rep1,4,11,11.862121,16.523672,0.0,42.848552,255.905424,2813.138739,99.990837,10913,16366455,10914,1,Excellent
S1_TearsOfSteel_rep1,5,11,11.469301,18.83582,0.0,47.418479,0.112261,0.674103,100.0,10551,15823060,10551,1,Excellent
S1_TearsOfSteel_rep1,6,11,12.805077,19.021266,0.0,46.409895,0.166506,0.920761,100.0,11780,17665576,11780,1,Excellent
S1_TearsOfSteel_rep1,7,11,6.573686,12.239868,0.0,34.737263,0.204385,1.562366,49.09121,2971,9069443,6052,3,Excellent
S1_TearsOfSteel_rep1,8,11,12.845237,19.593869,0.0,49.555121,0.192827,0.982626,0.0,0,17723733,11818,1,Excellent
