run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,label
S1_RedBullPlayStreets_rep1,26,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_RedBullPlayStreets_rep1,27,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_RedBullPlayStreets_rep1,28,11,3.8e-05,0.000119,0.0,0.000414,52,1,1,Excellent
S1_RedBullPlayStreets_rep1,29,10,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TearsOfSteel_rep1,1,10,11.790141,23.582802,0.0,59.721455,15072241,10050,1,Excellent
S1_TearsOfSteel_rep1,2,11,7.882724,16.730338,0.0,48.827434,11124840,7418,1,Excellent
S1_TearsOfSteel_rep1,3,11,11.172345,18.115614,0.0,43.429846,15695425,10465,1,Excellent
S1_TearsOfSteel_rep1,4,11,7.578245,15.718812,0.0,41.737817,10712321,7144,1,Excellent
S1_TearsOfSteel_rep1,5,10,9.161901,18.15249,0.0,47.337449,11699718,7801,1,Excellent
S1_TearsOfSteel_rep1,6,11,11.445185,14.679104,0.0,40.415582,16090524,10730,1,Excellent
S1_TearsOfSteel_rep1,7,11,9.816989,15.956437,0.0,42.498506,13794498,9201,2,Excellent
S1_TearsOfSteel_rep1,8,11,11.133659,15.239998,0.0,42.57144,15664169,10448,2,Excellent
S1_TearsOfSteel_rep1,9,11,12.330688,20.062556,0.0,48.647183,17324909,11552,1,Excellent
S1_TearsOfSteel_rep1,10,10,10.304962,15.918708,0.0,40.262121,13180294,8788,1,Excellent
S1_TearsOfSteel_rep1,11,11,8.443245,18.280663,0.0,55.017891,11870024,7914,1,Excellent
S1_TearsOfSteel_rep1,12,11,14.503853,23.824987,0.0,59.057398,20383803,13592,1,Excellent
S1_TearsOfSteel_rep1,13,11,11.550783,18.474812,0.0,59.057398,16245366,10834,1,Excellent
S1_TearsOfSteel_rep1,14,10,7.791138,15.631406,0.0,41.724747,9951891,6636,1,Excellent
S1_TearsOfSteel_rep1,15,11,13.704874,22.444092,0.0,58.437532,19270392,12849,1,Excellent
S1_TearsOfSteel_rep1,16,11,16.074435,27.363175,0.0,83.01367,22540677,15029,1,Excellent
S1_TearsOfSteel_rep1,17,11,5.69602,11.811559,0.0,33.904681,8005640,5338,1,Excellent
