window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
10,1789405310.603,Critical,0.191482,0.127449,0.0,0.484159,241749,246,4,147.435153,225.532849,0.0,0,495.041262,933.106416,271.515033,0.244154,0.19003,0.137036,0.364164,-0.025813,0.881208,-46,0.23134,0.827708,3209847,0.247525,30.253,0.297,0.9575,1.2545,101
11,1789405320.703,Critical,0.248155,0.29016,0.0,1.647069,313295,306,3,114.404667,272.849049,3.267974,10,433.720605,1075.967937,336.795137,0.0,0.29911,0.288072,0.728322,0.056673,1.29597,60,0.232743,1.066219,3523142,0.376238,30.053,0.3132,0.8999,1.2131,101
12,1789405330.803,Critical,0.057911,0.239411,0.0,1.239868,73114,59,2,21.359925,188.406332,0.0,0,72.384356,158.025247,69.738024,0.0,0.060572,0.242989,1.239835,-0.190244,0.233366,-247,0.219284,0.264091,3596256,0.940594,30.187,0.2582,0.932,1.1903,101
13,1789405340.903,Critical,0.038119,0.19634,0.0,1.239835,48126,38,2,20.942559,0.0,0.0,0,74.896154,175.560768,76.596949,0.0,0.025854,0.141608,0.801471,-0.019792,0.658234,-21,0.206335,0.184743,3644382,0.960396,30.451,0.2568,0.9308,1.1876,101
14,1789405351.003,Critical,0.057427,0.234518,0.0,1.239871,72501,59,2,41.597113,488.826874,0.0,0,60.207458,157.938397,69.444419,0.0,0.058499,0.238288,1.239871,0.019308,1.506519,21,0.196401,0.292397,3716883,0.930693,30.161,0.2542,0.9354,1.1896,101
15,1789405361.103,Critical,0.849841,3.32189,0.0,31.837546,1072922,854,5,63.902898,356.388856,1.288056,11,130.14997,267.186005,71.559319,1.340478,0.970974,0.279794,1.670469,0.792414,14.798631,795,0.237266,3.581807,4789805,0.514851,30.118,0.3044,0.914,1.2184,101
16,1789405371.203,Critical,0.965332,0.12143,0.492464,1.461529,1218731,1182,5,36.648364,172.512497,0.0,0,97.500893,171.545078,35.382981,0.976615,0.965657,0.063353,1.084739,0.115491,1.135897,328,0.280118,3.446162,6008536,0.0,30.489,0.3133,0.8783,1.1916,101
17,1789405381.303,Critical,0.965815,0.049018,0.736511,1.025671,1219340,1206,4,58.097875,152.489859,0.0,0,126.792639,149.248967,33.498283,0.976646,0.95996,0.058953,0.976799,0.000483,1.0005,24,0.318234,3.034921,7227876,0.0,31.234,0.4505,1.2174,1.6679,101
18,1789405391.403,Critical,0.839617,0.350012,0.0,1.452471,1060016,1011,4,32.488558,87.785141,0.0,0,111.688977,197.216629,49.065765,0.852424,0.784279,0.442335,1.452471,-0.126198,0.869335,-195,0.345689,2.428822,8287892,0.128713,31.26,0.2967,0.8979,1.1946,101
19,1789405401.503,Degraded,2.090552,10.761032,0.0,105.445358,2639370,2149,4,42.442279,64.349784,0.465333,10,155.925041,207.906306,54.448354,1.568378,4.637904,19.180034,105.445358,1.250935,2.489888,1138,0.432977,4.828321,10927262,0.227723,31.144,0.2932,0.9084,1.2015,101
20,1789405411.603,Degraded,0.383341,0.593656,0.0,1.80833,483965,380,2,24.92853,109.186473,0.0,0,99.652224,137.567294,36.308002,0.0,0.440514,0.596685,1.541262,-1.707211,0.183368,-1769,0.430613,0.890222,11411227,0.683168,31.283,0.2729,0.8888,1.1617,101
21,1789405421.703,Good,1.029245,0.524366,0.0,1.808473,1299421,1041,2,21.084477,67.49467,0.0,0,95.504169,132.423204,19.322322,1.212493,1.278392,0.208457,1.808421,0.645904,2.684933,661,0.457835,2.24807,12710648,0.188119,31.631,0.2965,1.1042,1.4007,101
22,1789405431.803,Good,1.261929,0.257422,0.848272,1.834957,1593185,1346,4,34.730404,49.671127,0.0,0,137.111407,161.403969,26.806567,0.848299,1.25367,0.29907,1.777842,0.232684,1.226073,305,0.492811,2.560675,14303833,0.0,31.341,0.2973,1.0635,1.3608,101
23,1789405441.903,Good,1.271756,0.288784,0.842495,1.696783,1605594,1372,5,40.965301,50.331354,0.0,0,149.230725,161.42922,12.449734,1.452492,1.275182,0.266162,1.696662,0.009827,1.007787,26,0.525281,2.421097,15909427,0.0,31.434,0.3015,0.9089,1.2104,101
24,1789405452.003,Good,2.414263,9.700399,0.0,98.618079,3048002,2572,5,36.587186,49.974338,2.099533,54,140.64236,161.398334,28.42662,0.0,5.005764,17.224909,98.618079,1.142507,1.89837,1200,0.60087,4.017946,18957429,0.029703,31.567,0.3023,0.9128,1.2151,101
25,1789405462.103,Good,0.643984,1.2758,0.0,4.128205,813031,639,2,9.739254,36.161121,0.0,0,47.655267,78.334083,19.463508,2.652552,0.627467,1.296085,4.128205,-1.770279,0.266741,-1933,0.602529,1.068802,19770460,0.782178,31.676,0.2527,0.918,1.1707,101
26,1789405472.203,Degraded,1.579482,1.548448,0.0,3.860831,1994105,1708,4,15.461296,35.695619,1.990632,34,68.191067,255.723147,56.033457,3.496685,2.435301,1.301661,3.860831,0.935498,2.452673,1069,0.638726,2.472863,21764565,0.415842,31.643,0.294,0.9131,1.2071,101
27,1789405482.303,Good,2.844727,1.078032,0.0,4.113166,3591464,2829,4,13.289577,30.252901,0.0,0,71.687347,89.62896,27.940729,3.740928,3.204606,0.470228,3.879188,1.265245,1.801051,1121,0.717539,3.964561,25356029,0.089109,32.432,0.3067,1.2664,1.5731,101
28,1789405492.403,Excellent,3.195692,0.517652,2.596944,4.100843,4034555,3178,6,17.041451,22.567842,0.0,0,87.827164,94.522002,6.420804,3.736608,3.192038,0.46964,3.736822,0.350965,1.123374,349,0.803022,3.979582,29390584,0.0,32.508,0.3098,0.91,1.2199,101
29,1789405502.503,Good,1.410774,2.457987,0.0,20.732912,1781080,1352,4,9.940973,35.146362,1.331361,18,64.882531,89.758643,21.407311,2.532567,0.879755,1.337814,3.852566,-1.784918,0.441461,-1826,0.823287,1.713587,31171664,0.584158,32.452,0.2808,0.9178,1.1986,101
30,1789405512.603,Excellent,2.263709,1.282217,0.0,3.966733,2857933,2322,5,12.565805,28.750044,1.550388,36,68.312575,81.867059,14.912756,3.153433,2.941597,0.355039,3.749186,0.852935,1.604587,970,0.869767,2.602661,34029597,0.217822,33.157,0.3008,0.9149,1.2156,101
31,1789405522.703,Excellent,2.911343,0.469747,2.41235,4.001885,3675577,2872,6,16.388795,22.442246,0.0,0,91.194052,98.356712,8.948669,3.61232,2.909071,0.513889,3.737125,0.647634,1.286094,550,0.933586,3.118452,37705174,0.0,33.094,0.3265,0.8979,1.2244,101
32,1789405532.803,Excellent,2.911741,0.528965,2.081583,3.976558,3676065,2793,4,11.478674,15.128427,0.0,0,80.232237,88.607128,9.32125,3.248269,2.915028,0.479676,3.621062,0.000398,1.000137,-79,0.993548,2.93065,41381239,0.0,33.187,0.3006,0.9092,1.2098,101
33,1789405542.903,Excellent,2.901736,0.507389,2.16827,3.375252,3663438,2709,2,5.972743,6.199523,0.0,0,72.636538,73.82624,4.227695,3.252336,2.906535,0.508092,3.365619,-0.010005,0.996564,-84,1.049687,2.764382,45044677,0.0,33.255,0.2986,0.9087,1.2073,101
34,1789405553.003,Excellent,1.35517,1.462097,0.0,3.993303,1710896,1340,2,7.621804,24.320156,0.074627,1,69.069467,89.616829,15.985226,0.0,0.657919,1.246366,3.616764,-1.546566,0.46702,-1369,1.058418,1.280373,46755573,0.514851,33.332,0.2801,0.9549,1.235,101
35,1789405563.103,Good,0.114941,0.572687,0.0,3.375981,145112,110,2,3.01175,0.0,0.0,0,53.93629,68.31604,20.815723,0.0,0.0,0.0,0.0,-1.240229,0.084817,-1230,1.032203,0.111355,46900685,0.960396,33.706,0.2534,0.9145,1.168,101
