run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S3B_Valkaama_rep1,1786975329.806,1.012,0,0,0
S3B_Valkaama_rep1,1786975330.818,1.0121,54000,36,1
S3B_Valkaama_rep1,1786975331.83,1.0125,1134070,757,1
S3B_Valkaama_rep1,1786975332.843,1.0125,0,0,0
S3B_Valkaama_rep1,1786975333.855,1.0127,0,0,0
S3B_Valkaama_rep1,1786975334.868,1.0127,592500,395,1
S3B_Valkaama_rep1,1786975335.882,1.0133,504297,337,1
S3B_Valkaama_rep1,1786975336.894,1.0127,0,0,0
S3B_Valkaama_rep1,1786975337.907,1.0127,0,0,0
S3B_Valkaama_rep1,1786975338.92,1.0129,138000,92,1
S3B_Valkaama_rep1,1786975339.934,1.0138,1022663,682,1
S3B_Valkaama_rep1,1786975340.946,1.0123,0,0,0
S3B_Valkaama_rep1,1786975341.959,1.0131,0,0,0
S3B_Valkaama_rep1,1786975342.971,1.0117,1089000,726,1
S3B_Valkaama_rep1,1786975343.983,1.0125,445950,298,1
S3B_Valkaama_rep1,1786975344.996,1.0125,0,0,0
S3B_Valkaama_rep1,1786975346.008,1.0121,0,0,0
S3B_Valkaama_rep1,1786975347.022,1.0141,1343194,896,1
S3B_Valkaama_rep1,1786975348.034,1.0125,0,0,0
S3B_Valkaama_rep1,1786975349.047,1.0126,0,0,0
S3B_Valkaama_rep1,1786975350.06,1.0125,0,0,0
S3B_Valkaama_rep1,1786975351.071,1.0119,1715443,1144,1
S3B_Valkaama_rep1,1786975352.083,1.0116,55500,37,1
S3B_Valkaama_rep1,1786975353.095,1.0115,0,0,0
S3B_Valkaama_rep1,1786975354.106,1.0116,0,0,0
S3B_Valkaama_rep1,1786975355.118,1.0118,2051786,1368,1
S3B_Valkaama_rep1,1786975356.132,1.014,0,0,0
S3B_Valkaama_rep1,1786975357.147,1.0156,0,0,0
S3B_Valkaama_rep1,1786975358.159,1.0119,0,0,0
S3B_Valkaama_rep1,1786975359.171,1.0119,1326109,885,1
S3B_Valkaama_rep1,1786975360.184,1.0129,112500,75,1
S3B_Valkaama_rep1,1786975361.196,1.0119,0,0,0
S3B_Valkaama_rep1,1786975362.208,1.0118,0,0,0
S3B_Valkaama_rep1,1786975363.22,1.0125,1677244,1119,1
S3B_Valkaama_rep1,1786975364.232,1.0119,0,0,0
S3B_Valkaama_rep1,1786975365.245,1.0126,0,0,0
S3B_Valkaama_rep1,1786975366.257,1.0117,21000,14,1
S3B_Valkaama_rep1,1786975367.269,1.0123,1629620,1087,1
S3B_Valkaama_rep1,1786975368.281,1.012,0,0,0
S3B_Valkaama_rep1,1786975369.294,1.0127,0,0,0
S3B_Valkaama_rep1,1786975370.306,1.0124,0,0,0
S3B_Valkaama_rep1,1786975371.318,1.0116,1844567,1230,1
S3B_Valkaama_rep1,1786975372.33,1.0126,0,0,0
S3B_Valkaama_rep1,1786975373.343,1.0123,0,0,0
S3B_Valkaama_rep1,1786975374.355,1.0126,0,0,0
S3B_Valkaama_rep1,1786975375.368,1.0128,780000,520,1
S3B_Valkaama_rep1,1786975376.381,1.0129,662121,442,1
S3B_Valkaama_rep1,1786975377.393,1.0124,0,0,0
S3B_Valkaama_rep1,1786975378.407,1.0132,0,0,0
S3B_Valkaama_rep1,1786975379.42,1.013,1543589,1030,1
S3B_Valkaama_rep1,1786975380.432,1.0127,0,0,0
S3B_Valkaama_rep1,1786975381.445,1.0128,0,0,0
